17/10/23 00:18:54 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 00:18:54 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
17/10/23 00:18:55 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/23 00:18:59 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508717458547_0001
17/10/23 00:19:00 INFO impl.YarnClientImpl: Submitted application application_1508717458547_0001
17/10/23 00:19:00 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1508717458547_0001/
17/10/23 00:19:00 INFO mapreduce.Job: Running job: job_1508717458547_0001
17/10/23 00:19:11 INFO mapreduce.Job: Job job_1508717458547_0001 running in uber mode : false
17/10/23 01:38:31 INFO mapreduce.Job:  map 72% reduce 0%
17/10/23 01:39:34 INFO mapreduce.Job:  map 73% reduce 0%
17/10/23 01:40:38 INFO mapreduce.Job:  map 74% reduce 0%
17/10/23 01:41:45 INFO mapreduce.Job:  map 75% reduce 0%
17/10/23 01:42:45 INFO mapreduce.Job:  map 76% reduce 0%
17/10/23 01:43:43 INFO mapreduce.Job:  map 77% reduce 0%
17/10/23 01:44:46 INFO mapreduce.Job:  map 78% reduce 0%
17/10/23 01:45:48 INFO mapreduce.Job:  map 79% reduce 0%
17/10/23 01:46:47 INFO mapreduce.Job:  map 80% reduce 0%
17/10/23 01:47:51 INFO mapreduce.Job:  map 81% reduce 0%
17/10/23 01:48:52 INFO mapreduce.Job:  map 82% reduce 0%
17/10/23 01:49:57 INFO mapreduce.Job:  map 83% reduce 0%
17/10/23 01:51:02 INFO mapreduce.Job:  map 84% reduce 0%
17/10/23 01:52:04 INFO mapreduce.Job:  map 85% reduce 0%
17/10/23 01:53:07 INFO mapreduce.Job:  map 86% reduce 0%
17/10/23 01:54:11 INFO mapreduce.Job:  map 87% reduce 0%
17/10/23 01:55:14 INFO mapreduce.Job:  map 88% reduce 0%
17/10/23 01:56:17 INFO mapreduce.Job:  map 89% reduce 0%
17/10/23 01:57:26 INFO mapreduce.Job:  map 90% reduce 0%
17/10/23 01:58:26 INFO mapreduce.Job:  map 91% reduce 0%
17/10/23 01:59:30 INFO mapreduce.Job:  map 92% reduce 0%
17/10/23 02:00:34 INFO mapreduce.Job:  map 93% reduce 0%
17/10/23 02:01:35 INFO mapreduce.Job:  map 94% reduce 0%
17/10/23 02:02:38 INFO mapreduce.Job:  map 95% reduce 0%
17/10/23 02:03:33 INFO mapreduce.Job:  map 95% reduce 6%
17/10/23 02:03:36 INFO mapreduce.Job:  map 95% reduce 11%
17/10/23 02:03:42 INFO mapreduce.Job:  map 95% reduce 13%
17/10/23 02:03:59 INFO mapreduce.Job:  map 96% reduce 13%
17/10/23 02:05:11 INFO mapreduce.Job:  map 97% reduce 13%
17/10/23 02:06:27 INFO mapreduce.Job:  map 98% reduce 13%
17/10/23 02:07:39 INFO mapreduce.Job:  map 99% reduce 13%
17/10/23 02:08:48 INFO mapreduce.Job:  map 100% reduce 13%
17/10/23 02:09:28 INFO mapreduce.Job:  map 100% reduce 14%
17/10/23 02:09:34 INFO mapreduce.Job:  map 100% reduce 20%
17/10/23 02:09:37 INFO mapreduce.Job:  map 100% reduce 25%
17/10/23 02:09:40 INFO mapreduce.Job:  map 100% reduce 27%
17/10/23 02:09:46 INFO mapreduce.Job:  map 100% reduce 36%
17/10/23 02:09:52 INFO mapreduce.Job:  map 100% reduce 38%
17/10/23 02:09:55 INFO mapreduce.Job:  map 100% reduce 39%
17/10/23 02:09:58 INFO mapreduce.Job:  map 100% reduce 41%
17/10/23 02:10:01 INFO mapreduce.Job:  map 100% reduce 42%
17/10/23 02:10:04 INFO mapreduce.Job:  map 100% reduce 43%
17/10/23 02:10:07 INFO mapreduce.Job:  map 100% reduce 44%
17/10/23 02:10:10 INFO mapreduce.Job:  map 100% reduce 47%
17/10/23 02:10:13 INFO mapreduce.Job:  map 100% reduce 48%
17/10/23 02:10:16 INFO mapreduce.Job:  map 100% reduce 56%
17/10/23 02:10:22 INFO mapreduce.Job:  map 100% reduce 58%
17/10/23 02:10:25 INFO mapreduce.Job:  map 100% reduce 59%
17/10/23 02:10:28 INFO mapreduce.Job:  map 100% reduce 60%
17/10/23 02:10:31 INFO mapreduce.Job:  map 100% reduce 61%
17/10/23 02:10:34 INFO mapreduce.Job:  map 100% reduce 62%
17/10/23 02:10:38 INFO mapreduce.Job:  map 100% reduce 65%
17/10/23 02:10:40 INFO mapreduce.Job:  map 100% reduce 66%
17/10/23 02:10:44 INFO mapreduce.Job:  map 100% reduce 70%
17/10/23 02:10:46 INFO mapreduce.Job:  map 100% reduce 71%
17/10/23 02:10:50 INFO mapreduce.Job:  map 100% reduce 73%
17/10/23 02:10:52 INFO mapreduce.Job:  map 100% reduce 74%
17/10/23 02:10:58 INFO mapreduce.Job:  map 100% reduce 75%
17/10/23 02:11:01 INFO mapreduce.Job:  map 100% reduce 76%
